Sample	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_gc	FastQC_percent_fails	FastQC_percent_duplicates
SRR1639282	191.36201611862424	11142142.0	46.0	27.27272727272727	
SRR1639282_10bp	181.36201611862424	11142142.0	46.0	9.090909090909092	
SRR1639282_Quali_10bp_noShortReads	181.36201611862424	11142142.0	46.0	9.090909090909092	40.477095635472985
SRR1639681_1	99.40328839017856	1463330.0	46.0	9.090909090909092	13.743490392593316
SRR1639681_2	92.29565853225178	1463330.0	45.0	9.090909090909092	13.092248405559303
SRR1642915	202.0	21213480.0	47.0	27.27272727272727	
SRR1642915_AdapTrimmed	198.57985125495676	21213480.0	47.0	45.45454545454545	
SRR1642915_AdapTrimmed2	198.57760673873406	21213480.0	47.0	45.45454545454545	
SRR1642915_Adapt_Quali	190.45469616489137	21213480.0	47.0	54.54545454545454	
SRR1642915_Adapt_Quali_9bp	181.68874272396607	21213480.0	47.0	27.27272727272727	
SRR1642915_Adapt_Quali_9bp_noShortReads	187.17378408124304	20576971.0	47.0	8.333333333333332	46.6797471604545
